,Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
157,PNR-157,Holme Crispin Park,Y,40.05729491,-75.02189588,0,,0,,POINT (-8351399.247707589 4874271.716118025),421010031005
158,PNR-158,Lincoln Indoor Pool,Y,40.0426712,-75.03992289,0,,0,,POINT (-8353406.005281313 4872145.080905158),421010031006
159,PNR-159,Lauretha Vaird Fields,Y,40.02210566,-75.11298601,0,,0,,POINT (-8361539.354595482 4869155.133940563),421010032001
160,PNR-160,Hammond and Nedro Fields,Y,40.03987896,-75.11568438,0,,0,,POINT (-8361839.735769854 4871739.074671664),421010032002
161,PNR-161,Allens Lane Art Center,Y,40.05200499,-75.20287273,0,,0,,POINT (-8371545.498494959 4873502.38327302),421010032003
162,PNR-162,Fernhill Park,Y,40.01920309,-75.16805868,0,,2,GM-15_PM-57_,POINT (-8367670.016176508 4868733.212726361),421010032006
163,PNR-163,Venice Island Performing Arts and Recreation Center,Y,40.02330914,-75.22184019,0,,0,,POINT (-8373656.946483801 4869330.078566111),421010108002
164,PNR-164,David P Montgomery Field,Y,40.02196707,-75.20320885,0,,0,,POINT (-8371582.915202204 4869134.987916366),421010066003
165,PNR-165,29th and Chalmers Playground,Y,39.99901849,-75.17967686,0,,5,GM-0_PM-38_PM-44_PM-49_PM-57_,POINT (-8368963.346058052 4865799.650169946),421010336001
166,PNR-166,Thomas B Smith Recreation Center,Y,39.92542697,-75.18736468,0,,4,PM-14_PM-23_PM-27_PM-29_,POINT (-8369819.150265762 4855111.440202238),421010198002
167,PNR-167,East Passyunk Community Recreation Center,Y,39.92627489,-75.1634348,0,,5,PM-8_PM-9_PM-14_PM-23_PM-33_,POINT (-8367155.288209419 4855234.524070078),421010197002
168,PNR-168,Frankford and Solly Playground,Y,40.04406173,-75.02095803,0,,0,,POINT (-8351294.846723149 4872347.27740893),421010277003
169,PNR-169,John Dickinson Square,Y,39.92758567,-75.1516727,0,,3,PM-9_PM-12_PM-33_,POINT (-8365845.93722676 4855424.799586548),421010300001
170,PNR-170,Ralph R Rizzo Sr Ice Rink,Y,39.93274882,-75.14542678,0,,4,PM-8_PM-9_PM-12_PM-33_,POINT (-8365150.644592823 4856174.328484651),421010163002
171,PNR-171,Laura Sims Skating Rink,Y,39.95930112,-75.24810754,0,,0,,POINT (-8376581.01451029 4860029.790536685),421010336002
172,PNR-172,Juniata Park Older Adult Center,Y,40.00384922,-75.10455182,0,,1,GM-12_,POINT (-8360600.464859428 4866501.653430485),421010168006
173,PNR-173,Pennypack Environmental Center,Y,40.08750802,-75.05915831,0,,0,,POINT (-8355547.282440909 4878666.866835084),421010289011
174,PNR-174,Wissahickon Environmental Center,Y,40.08130529,-75.23387145,0,,0,,POINT (-8374996.260220601 4877764.386443736),421010162001
175,PNR-175,Cobbs Creek Community Environmental Center,Y,39.95198692,-75.25041458,0,,0,,POINT (-8376837.833028329 4858967.600599693),421010175001
176,PNR-176,Dr Martin Luther King Jr Older Adult Center,Y,39.97992947,-75.16958498,0,,13,GM-0_GM-4_PM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_,POINT (-8367839.923115304 4863026.113280753),421010022001
177,PNR-177,West Oak Lane Senior Center,Y,40.06437774,-75.15421001,0,,0,,POINT (-8366128.389283943 4875301.892089516),421010253003
178,PNR-178,Mann Older Adult Center,Y,40.00072425,-75.1381381,0,,11,GM-10_GM-13_PM-34_PM-35_PM-39_PM-41_PM-43_PM-45_PM-50_PM-55_PM-57_,POINT (-8364339.272446669 4866047.52609756),421010287002
179,PNR-179,Northeast Older Adult Center,Y,40.06252311,-75.05131603,0,,0,,POINT (-8354674.28382465 4875032.131475967),421010288002
180,PNR-180,South Philadelphia Older Adult Center,Y,39.93136989,-75.16253172,0,,7,GM-1_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_,POINT (-8367054.757803673 4855974.145175454),421010289021
181,PNR-181,33rd and Wallace Playground,Y,39.96503672,-75.19081262,0,,15,GM-3_GM-19_GM-20_GM-21_PM-6_PM-7_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_,POINT (-8370202.973190848 4860862.810955002),421010289012
