,Id,Region,Area,Name,Address,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
27,PL-27,South Philadelphia,Passyunk Square,South 9th Street Lot,"1401-15 S. 9th StreetPhiladelphia, PA 19147",39.93249019,-75.15936617,0,,7,GM-1_PM-3_PM-8_PM-9_PM-12_PM-14_PM-33_,POINT (-8366702.370389593 4856136.782102343),421010265002
28,PL-28,South Philadelphia,Passyunk Square,12th & Passyunk Lot,"1628 E. Passyunk AvenuePhiladelphia, PA 19148",39.93002255,-75.16431994,0,,7,GM-1_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_,POINT (-8367253.821543499 4855778.551774349),421010265003
29,PL-29,South Philadelphia,Passyunk Square,South 12th Street Lot,"1339 S. 12th StreetPhiladelphia, PA 19147",39.93391217,-75.1639762,0,,11,GM-1_GM-17_PM-2_PM-3_PM-5_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_,POINT (-8367215.556581734 4856343.218549984),421010265004
30,PL-30,South Philadelphia,Little Saigon ,8th & Passyunk Lot,"1012-26 E. Passyunk AvenuePhiladelphia, PA 19147",39.93742842,-75.15610926,0,,11,GM-1_GM-6_GM-7_PM-0_PM-2_PM-3_PM-8_PM-9_PM-12_PM-14_PM-33_,POINT (-8366339.812826832 4856853.709799452),421010265005
31,PL-31,South Philadelphia,Bella Vista,7th & Christian Street Lot,"719-35 Christian StreetPhiladelphia, PA 19147",39.94101226,-75.15468491,0,,16,GM-1_GM-6_GM-7_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-8_PM-9_PM-12_PM-14_,POINT (-8366181.254910122 4857374.040796692),421010363031
32,PL-32,South Philadelphia,Bella Vista,South 7th Street Lot,"738-48 S. 7th StreetPhiladelphia, PA 19147",39.94106717,-75.15488175,0,,16,GM-1_GM-6_GM-7_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-8_PM-9_PM-12_PM-14_,POINT (-8366203.167038689 4857382.013288409),421010363033
33,PL-33,South Philadelphia,Point Breeze,South 28th Street Lot,"1345 S. 28th StreetPhiladelphia, PA 19146",39.93643735,-75.1905087,0,,7,GM-21_PM-14_PM-23_PM-27_PM-29_PM-46_PM-47_,POINT (-8370169.140971206 4856709.823017661),421010363032
34,PL-34,Southwest Philadelphia,Elmwood Park,63rd & Woodland Avenue Lot,"2132 S. 63rd StreetPhiladelphia, PA 1914",39.92840382,-75.23262874,0,,1,PM-52_,POINT (-8374857.922376199 4855543.565767298),421010255003
35,PL-35,Southwest Philadelphia,Cedar Park,47th & Baltimore Avenue Lot,"4716-23 Baltimore AvenuePhiladelphia, PA 19143",39.94888777,-75.2177739,0,,12,GM-19_GM-20_GM-21_GM-22_PM-28_PM-36_PM-40_PM-46_PM-47_PM-52_PM-53_PM-54_,POINT (-8373204.289151582 4858517.567054959),421010256002
36,PL-36,West Philadelphia,Havorford,40th & Lancaster Avenue Lot,"4076 Lancaster AvenuePhiladelphia, PA 19104",39.96525518,-75.20497554,0,,15,GM-3_GM-19_GM-20_GM-21_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_PM-53_,POINT (-8371779.582233395 4860894.540776562),421010094004
